îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2040,2,57068462,290130,294057,298046,302003,305857,309597,313236,316783,320102,322930,325395,327522,329355,331140,333635,337559,340517,342441,362033,398631,440726,465509,493824,512002,534603,550528,550725,565541,568562,580236,585152,588193,598344,594986,591704,590883,607724,605283,618379,629152,638140,635915,640898,637254,634699,639610,634029,617024,620662,615918,627454,637315,653594,670420,677710,703489,725887,734293,733917,736413,767239,783150,811056,828780,864859,898353,945464,962078,939368,909906,878875,862294,837530,830621,646560,789653,734365,709653,679725,658619,654954,655566,626588,595665,609536,608769,587990,599337,601620,599253,600582,604451,542781,458113,251357,232603,238360,187941,153287,114432,77436,48173,35511,24093,15282,18967
2041,2,56596893,286276,290326,294386,298385,302279,306082,309839,313539,317148,320507,323356,325823,327965,329842,331487,333910,338639,343718,348112,369543,406979,449112,472751,499941,516660,537921,552970,552676,567257,569938,581309,585984,588852,598892,595391,591948,591003,607844,605456,618596,629372,638334,636051,640969,637252,634604,639407,633722,616619,620149,615307,626721,636460,652620,669341,676557,702218,724484,732757,732255,734624,765252,781006,808706,826219,861986,895126,941780,957995,935009,905268,873944,856961,831823,824372,641179,782333,726738,701346,670704,648650,643586,642460,612116,579733,590614,586787,563259,569956,567239,559353,554069,550173,486525,403606,217213,196722,196815,151112,119687,86529,56558,33904,24032,15650,20334
2042,2,56118236,282268,286471,290651,294722,298659,302501,306321,310139,313901,317549,320930,323781,326264,328450,330189,331760,334979,341823,349411,355336,377288,414727,456099,478605,504489,519869,540311,554930,554355,568631,570993,582137,586642,589393,599301,595638,592070,591122,608019,605670,618815,629568,638473,636124,640970,637161,634407,639103,633311,616115,619540,614595,625888,635520,651579,668212,675345,700872,722981,731113,730492,732738,763176,778764,806230,823500,858920,891674,937825,953597,930295,900243,868596,851183,825630,817585,635301,774301,718332,692152,660680,637536,630886,627814,595957,561969,569562,562421,535992,537784,529922,516534,504867,493750,429209,349288,183996,162712,158539,118223,90694,63340,39897,22998,15647,21395
2043,2,55633854,278065,282461,286793,290983,294992,298879,302738,306618,310497,314298,317969,321353,324220,326747,328795,330461,332823,338129,347486,356664,362786,384472,421178,461746,482959,507624,522181,542229,556617,555700,569685,571809,582792,587183,589797,599551,595763,592191,591295,608236,605886,619009,629709,638549,636128,640882,636967,634109,638693,632800,615516,618830,613786,624972,634515,650489,667025,674062,699431,721373,729367,728633,730769,761005,776402,803603,820601,855642,887969,933566,948840,925187,894794,862802,844913,818904,810171,628852,765449,709029,681935,649503,625117,616689,611454,577929,542193,546209,535532,506104,502824,489822,471169,453630,436152,371976,296333,152443,131307,124276,89770,66533,44782,27126,15009,22040
2044,2,55145169,273615,278257,282780,287122,291251,295210,299113,303032,306972,310890,314713,318387,321788,324699,327090,329066,331519,335953,343732,354700,364143,369697,390453,426390,465946,485962,509885,524037,543880,557969,556733,570500,572454,583330,587587,590045,599679,595887,592367,591507,608454,606077,619151,629788,638555,636044,640691,636673,633708,638183,632191,614817,618023,612895,623992,633462,649344,665768,672687,697888,719666,727528,726692,728709,758718,773897,800801,817500,852122,883978,928959,943686,919646,888886,856511,838101,811558,802038,621745,755653,698690,670542,637010,611228,600823,593192,557848,520240,520416,506029,473590,465207,447272,423846,401227,378524,316064,245922,123240,103127,94560,65998,47145,30517,17745,22042
2045,2,54653550,268858,273806,278572,283105,287386,291466,295441,299403,303381,307361,311301,315127,318818,322263,325040,327360,330121,334638,341521,350870,362140,371080,375447,395282,430268,468846,488130,511699,525636,545203,559007,557531,571145,572984,583734,587835,590172,599805,596065,592581,591721,608648,606217,619232,629799,638473,635858,640399,636275,633207,637575,631480,614022,617134,611942,622965,632356,648131,664422,671216,696251,717867,725606,724661,726539,756293,771224,797805,814171,848332,879661,923966,938093,913637,882471,849676,830661,803500,793077,613882,744767,687161,657806,623035,595699,583102,572836,535539,495971,492086,473897,438559,425232,402810,375358,348694,322111,262723,199162,96974,78626,69666,46869,32201,20009,23784
2046,2,54160225,263740,269047,274117,278892,283365,287598,291695,295728,299749,303766,307766,311710,315553,319289,322602,325309,328409,333227,340185,348614,358231,369040,376853,380090,398877,432948,470939,489870,513262,526916,546219,559810,558163,571675,573382,583982,587964,590298,599987,596283,592798,591911,608790,606297,619246,629723,638290,635573,640004,635778,632610,636864,630671,613146,616182,610944,621886,631184,646831,662981,669655,694525,715987,723597,722523,724238,753706,768367,794589,810587,844232,874982,918546,932026,907110,875501,842212,822502,794622,783162,605143,732626,674269,643553,607402,578347,563340,550207,510856,469290,461199,439235,401277,383391,357170,326654,297164,268178,213137,157006,74081,58048,49582,32084,21161,26298
2047,2,53666205,258236,263926,269353,274432,279149,283575,287824,291978,296069,300129,304167,308171,312132,316020,319625,322869,326351,331500,338751,347252,355930,365058,374781,381513,383547,401363,434884,472621,491369,514514,527900,547005,560445,558682,572073,573628,584112,588092,590479,600208,596503,592990,592050,608871,606312,619175,629547,638008,635185,639509,635184,631911,636055,629778,612208,615185,609894,620742,629928,645440,661452,668008,692722,714021,721481,720255,721784,750940,765300,791126,806710,839788,869903,912666,925434,900016,867889,834027,813515,784800,772143,595396,719049,659839,627603,589926,558984,541354,525150,483695,440169,427838,402292,362193,340365,311240,278785,247798,217933,168331,120176,54806,41402,34016,21131,28569
2048,2,53172220,252349,258419,264227,269663,274685,279356,283798,288104,292315,296445,300525,304567,308588,312593,316352,319889,323904,329423,336997,345790,354541,362714,370737,379416,384983,385938,403161,436440,474069,492571,515477,528661,547627,560968,559073,572320,573757,584240,588273,590699,600432,596699,593132,592131,608888,606244,619006,629274,637623,634699,638918,634489,631115,635162,628823,611224,614136,608782,619517,628585,643963,659839,666289,690836,711951,719236,717837,719160,747972,761998,787380,802506,834962,864390,906275,918269,892270,859542,825012,803571,773886,759853,584494,703846,643683,609764,570413,537429,516989,497551,454019,408678,392233,363501,321929,296984,266008,232832,201708,172429,129092,89087,39172,28466,22453,29929
2049,2,52678685,246131,252530,258715,264532,269912,274889,279576,284074,288436,292685,296836,300920,304978,309044,312922,316614,320915,326953,334887,344000,353049,361299,368357,375322,382867,387385,387670,404607,437780,475230,493494,516221,529264,548140,561361,559315,572450,573884,584422,588494,590921,600632,596844,593216,592149,608822,606080,618742,628900,637140,634118,638225,633697,630236,634206,627821,610190,613025,607590,618206,627158,642405,658154,664490,688851,709757,716844,715252,716345,744776,758426,783318,797941,829723,858396,899327,910445,883777,850350,815040,792523,761711,746104,572283,686819,625605,589834,548676,513522,490130,467366,421889,375022,354788,323471,281259,254180,222500,189839,159876,132486,95889,63808,26991,18831,31591
