厚生年金2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
68,0.104519799,0.002243402,0.006182349,,,,,,,,
69,0.105669661,0.002243402,0.006781756,,,,,,,,
70,0.149542067,0.002243402,0.007491247,,,,,,,,
71,0.158064728,0.002243402,0.008308164,,,,,,,,
72,0.166543597,0.002243402,0.009168874,,,,,,,,
73,0.175027538,0.002243402,0.01002451,,,,,,,,
74,0.183474075,0.002243402,0.010917552,,,,,,,,
75,0.191796708,0.002243402,0.011934498,,,,,,,,
76,0.199929979,0.002243402,0.013140805,,,,,,,,
77,0.207843496,0.002243402,0.014566867,,,,,,,,
78,0.215544273,0.002243402,0.016205669,,,,,,,,
79,0.223086079,0.002243402,0.018003441,,,,,,,,
80,0.230438523,0.002243402,0.019990576,,,,,,,,
81,0.237484714,0.002243402,0.022283963,,,,,,,,
82,0.244154519,0.002243402,0.024953737,,,,,,,,
83,0.250394167,0.002243402,0.028053667,,,,,,,,
84,0.256182619,0.002243402,0.031604794,,,,,,,,
再加入率,RT,,,,,,,,,,
年齢,,,,,,,,,,,
15,0,,,,,,,,,,
16,0.000594719,,,,,,,,,,
17,0.008316829,,,,,,,,,,
18,0.028264363,,,,,,,,,,
19,0.074320723,,,,,,,,,,
20,0.122937767,,,,,,,,,,
21,0.157241512,,,,,,,,,,
22,0.172828116,,,,,,,,,,
23,0.187297417,,,,,,,,,,
24,0.235984957,,,,,,,,,,
25,0.334496308,,,,,,,,,,
26,0.45527966,,,,,,,,,,
27,0.569864064,,,,,,,,,,
28,0.651867255,,,,,,,,,,
29,0.708773283,,,,,,,,,,
30,0.739602192,,,,,,,,,,
31,0.760815982,,,,,,,,,,
32,0.778019417,,,,,,,,,,
33,0.792199736,,,,,,,,,,
34,0.806960441,,,,,,,,,,
35,0.820735084,,,,,,,,,,
36,0.831433482,,,,,,,,,,
37,0.83836413,,,,,,,,,,
38,0.843856541,,,,,,,,,,
39,0.84926928,,,,,,,,,,
40,0.85573882,,,,,,,,,,
41,0.863250342,,,,,,,,,,
42,0.871305186,,,,,,,,,,
43,0.877913707,,,,,,,,,,
44,0.883899649,,,,,,,,,,
45,0.888483473,,,,,,,,,,
46,0.893534261,,,,,,,,,,
47,0.898884721,,,,,,,,,,
48,0.901447304,,,,,,,,,,
49,0.901304208,,,,,,,,,,
50,0.900221954,,,,,,,,,,
51,0.907120005,,,,,,,,,,
52,0.906653343,,,,,,,,,,
53,0.889667878,,,,,,,,,,
54,0.865185717,,,,,,,,,,
55,0.849002474,,,,,,,,,,
56,0.854863428,,,,,,,,,,
57,0.890730819,,,,,,,,,,
58,0.895465917,,,,,,,,,,
59,0.895465917,,,,,,,,,,
60,0.895465917,,,,,,,,,,
61,0.895465917,,,,,,,,,,
62,0.895465917,,,,,,,,,,
63,0.895465917,,,,,,,,,,
64,0.895465917,,,,,,,,,,
65,0.895465917,,,,,,,,,,
66,0,,,,,,,,,,
67,0,,,,,,,,,,
68,0,,,,,,,,,,
69,0,,,,,,,,,,
70,0,,,,,,,,,,
71,0,,,,,,,,,,
72,0,,,,,,,,,,
73,0,,,,,,,,,,
74,0,,,,,,,,,,
年齢相関,YX,NS,,,,,,,,,
年齢,遺族分,老齢分,,,,,,,,,
15,18.7783919,18.7783919,,,,,,,,,
16,19.29210546,19.29210546,,,,,,,,,
17,19.85013742,19.85013742,,,,,,,,,
18,20.38942083,20.38942083,,,,,,,,,
19,20.79221086,20.79221086,,,,,,,,,
20,21.33049616,21.33049616,,,,,,,,,
21,22.04475695,22.04475695,,,,,,,,,
22,22.97670425,22.97670425,,,,,,,,,
23,23.9949438,23.9949438,,,,,,,,,
24,24.95654748,24.95654748,,,,,,,,,
25,25.80618166,25.80618166,,,,,,,,,
26,26.67801348,26.67801348,,,,,,,,,
27,27.72880166,27.72880166,,,,,,,,,
28,28.84148783,28.84148783,,,,,,,,,
29,29.71028967,29.71028967,,,,,,,,,
30,30.50904997,30.50904997,,,,,,,,,
31,31.17787714,31.17787714,,,,,,,,,
32,31.90987659,31.90987659,,,,,,,,,
33,32.73133583,32.73133583,,,,,,,,,
34,33.65483421,33.65483421,,,,,,,,,
35,34.5944646,34.5944646,,,,,,,,,
36,35.53596875,35.53596875,,,,,,,,,
37,36.44531601,36.44531601,,,,,,,,,
38,37.30602054,37.30602054,,,,,,,,,
39,38.07550655,38.07550655,,,,,,,,,
40,38.90131836,38.90131836,,,,,,,,,
41,39.77787399,39.77787399,,,,,,,,,
42,40.72925518,40.72925518,,,,,,,,,
43,41.74191413,41.74191413,,,,,,,,,
44,42.76147058,42.76147058,,,,,,,,,
45,43.71379322,43.71379322,,,,,,,,,
46,44.58268263,44.58268263,,,,,,,,,
47,45.44199385,45.44199385,,,,,,,,,
48,46.30879284,46.30879284,,,,,,,,,
49,47.1943782,47.1943782,,,,,,,,,
50,48.1124118,48.1124118,,,,,,,,,
51,49.0019616,49.0019616,,,,,,,,,
52,49.84986602,49.84986602,,,,,,,,,
53,50.68621542,50.68621542,,,,,,,,,
54,51.50680797,51.50680797,,,,,,,,,
55,52.35190556,52.35190556,,,,,,,,,
56,53.23895674,53.23895674,,,,,,,,,
57,54.18470845,54.18470845,,,,,,,,,
58,55.15416588,55.15416588,,,,,,,,,
59,56.10003846,56.10003846,,,,,,,,,
60,57.03735221,57.03735221,,,,,,,,,
61,57.97288545,57.97288545,,,,,,,,,
62,58.93207542,58.93207542,,,,,,,,,
63,59.90135083,59.90135083,,,,,,,,,
64,60.8763164,60.8763164,,,,,,,,,
65,61.86717222,61.86717222,,,,,,,,,
66,62.88171979,62.88171979,,,,,,,,,
67,63.92423832,63.92423832,,,,,,,,,
68,64.98688655,64.98688655,,,,,,,,,
69,66.03920601,66.03920601,,,,,,,,,
70,67.07432836,67.07432836,,,,,,,,,
71,68.08530933,68.08530933,,,,,,,,,
72,69.06823288,69.06823288,,,,,,,,,
73,70.01971594,70.01971594,,,,,,,,,
74,70.94477859,70.94477859,,,,,,,,,
75,71.86367588,71.86367588,,,,,,,,,
76,72.79023272,72.79023272,,,,,,,,,
77,73.73238249,73.73238249,,,,,,,,,
78,74.68913169,74.68913169,,,,,,,,,
79,75.6519378,75.6519378,,,,,,,,,
80,76.61482092,76.61482092,,,,,,,,,
81,77.56838174,77.56838174,,,,,,,,,
82,78.50632679,78.50632679,,,,,,,,,
83,79.4294635,79.4294635,,,,,,,,,
84,80.34784607,80.34784607,,,,,,,,,
85,81.26956921,81.26956921,,,,,,,,,
86,82.19620384,82.19620384,,,,,,,,,
87,83.1193989,83.1193989,,,,,,,,,
88,84.03272621,84.03272621,,,,,,,,,
89,84.93186234,84.93186234,,,,,,,,,
90,85.8146034,85.8146034,,,,,,,,,
91,86.68043546,86.68043546,,,,,,,,,
92,87.53580898,87.53580898,,,,,,,,,
93,88.3852768,88.3852768,,,,,,,,,
94,89.21194984,89.21194984,,,,,,,,,
95,89.97914137,89.97914137,,,,,,,,,
96,90.67101078,90.67101078,,,,,,,,,
97,91.29865138,91.29865138,,,,,,,,,
98,91.89669156,91.89669156,,,,,,,,,
99,92.49976258,92.49976258,,,,,,,,,
100,93.11797715,93.11797715,,,,,,,,,
101,93.74292016,93.74292016,,,,,,,,,
102,94.3628011,94.3628011,,,,,,,,,
103,94.98254152,94.98254152,,,,,,,,,
104,95.60328448,95.60328448,,,,,,,,,
105,96.22340371,96.22340371,,,,,,,,,
106,96.8437462,96.8437462,,,,,,,,,
107,97.46405647,97.46405647,,,,,,,,,
108,98.0843474,98.0843474,,,,,,,,,
109,98.70465665,98.70465665,,,,,,,,,
110,99.32495752,99.32495752,,,,,,,,,
111,99.94526052,99.94526052,,,,,,,,,
112,100.5655612,100.5655612,,,,,,,,,
113,101.185863,101.185863,,,,,,,,,
114,101.8061648,101.8061648,,,,,,,,,
115,102.4264666,102.4264666,,,,,,,,,
有子割合,RC,,,,,,,,,,
年齢,,,,,,,,,,,
15,0,,,,,,,,,,
16,0,,,,,,,,,,
17,0,,,,,,,,,,
18,0,,,,,,,,,,
19,0.274936137,,,,,,,,,,
20,0.504742378,,,,,,,,,,
21,0.701926259,,,,,,,,,,
22,0.811482959,,,,,,,,,,
23,0.835820315,,,,,,,,,,
24,0.820256999,,,,,,,,,,
25,0.800201532,,,,,,,,,,
26,0.790766421,,,,,,,,,,
27,0.786851763,,,,,,,,,,
28,0.7866721,,,,,,,,,,
29,0.789782949,,,,,,,,,,
30,0.795332249,,,,,,,,,,
31,0.802911661,,,,,,,,,,
32,0.811982953,,,,,,,,,,
33,0.822012826,,,,,,,,,,
34,0.83114149,,,,,,,,,,
35,0.837348221,,,,,,,,,,
36,0.840203929,,,,,,,,,,
37,0.839900315,,,,,,,,,,
38,0.835850507,,,,,,,,,,
39,0.827260814,,,,,,,,,,
40,0.813176075,,,,,,,,,,
41,0.792868991,,,,,,,,,,
42,0.766183362,,,,,,,,,,
43,0.733479142,,,,,,,,,,
44,0.694691586,,,,,,,,,,
45,0.649446614,,,,,,,,,,
46,0.597599389,,,,,,,,,,
47,0.539645884,,,,,,,,,,
48,0.476930486,,,,,,,,,,
49,0.411561129,,,,,,,,,,
50,0.345928536,,,,,,,,,,
51,0.282569642,,,,,,,,,,
52,0.223949471,,,,,,,,,,
53,0.171972369,,,,,,,,,,
54,0.127701838,,,,,,,,,,
55,0.091464784,,,,,,,,,,
56,0.063034422,,,,,,,,,,
57,0.041694393,,,,,,,,,,
58,0.026371029,,,,,,,,,,
59,0.015878077,,,,,,,,,,
60,0.009059348,,,,,,,,,,
61,0.004889585,,,,,,,,,,
62,0.002509611,,,,,,,,,,
63,0.001262816,,,,,,,,,,
64,0.000661786,,,,,,,,,,
65,0.000382416,,,,,,,,,,
66,0.000252204,,,,,,,,,,
67,0.000193868,,,,,,,,,,
68,0.000166111,,,,,,,,,,
69,0.00014709,,,,,,,,,,
70,0.000129425,,,,,,,,,,
71,0.000113662,,,,,,,,,,
72,0.000101482,,,,,,,,,,
73,0.000091808,,,,,,,,,,
74,0.000082802,,,,,,,,,,
75,0.000073126,,,,,,,,,,
76,0.000062763,,,,,,,,,,
77,0.000052245,,,,,,,,,,
78,0.000042922,,,,,,,,,,
79,0.000035979,,,,,,,,,,
80,0.000031444,,,,,,,,,,
81,0.00002847,,,,,,,,,,
82,0.000026138,,,,,,,,,,
83,0.000023427,,,,,,,,,,
84,0.00001991,,,,,,,,,,
85,0.0000159,,,,,,,,,,
86,0.00001194,,,,,,,,,,
87,0.000008477,,,,,,,,,,
88,0.000006172,,,,,,,,,,
89,0.000005189,,,,,,,,,,
90,0.000004993,,,,,,,,,,
91,0.000004761,,,,,,,,,,
92,0.000004063,,,,,,,,,,
93,0.000003031,,,,,,,,,,
94,0.000002184,,,,,,,,,,
95,0.000001885,,,,,,,,,,
96,0.000002123,,,,,,,,,,
97,0.000002616,,,,,,,,,,
98,0.000002871,,,,,,,,,,
99,0.000002559,,,,,,,,,,
100,0.000001786,,,,,,,,,,
101,0.000000897,,,,,,,,,,
102,0.000000182,,,,,,,,,,
103,0,,,,,,,,,,
104,0,,,,,,,,,,
105,0,,,,,,,,,,
106,0,,,,,,,,,,
107,0,,,,,,,,,,
108,0,,,,,,,,,,
109,0,,,,,,,,,,
110,0,,,,,,,,,,
111,0,,,,,,,,,,
112,0,,,,,,,,,,
113,0,,,,,,,,,,
114,0,,,,,,,,,,
115,0,,,,,,,,,,
障害等級割合,CL,,,CL2,,,,,,,
障害等級,１級,２級,３級,１級,２級,３級,,,,,
割合,0.116328226,0.45921668,0.424455094,0.137079257,0.368206944,0.4947138,,,,,
加給平均対象者数,KD,,,,,,,,,,
年齢,老齢,,,,障害,,,,遺族,,振替加算
