年齢別年金支給額割合,,,,,,,,,,,,,,,,,,,
年度,性別：男,J：額,,,,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
67,0.96250355,0.49519293,0.870455957,0.536110293,0.984323798,0,1,0,0.414569995,0.707829544,0.703413078,0.532628417,0.532628417,0.985372469,0.951506489,0.961053791,0.998018474,0.835574897,0
68,0.970208786,0.494861352,0.896746008,0.564059491,0.984323798,0,1,0,0.409970801,0.690194408,0.710227853,0.557408944,0.557408944,0.986087932,0.954675918,0.960352611,0.998018474,0.828953141,0
69,0.977792776,0.498716474,0.927238771,0.612180508,0.984323798,0,1,0,0.41184067,0.67148089,0.720604006,0.599263411,0.599263411,0.986915397,0.958125836,0.957544859,0.998018474,0.819775188,0
70,0.98520271,0.510957714,0.958212346,0.670058312,0.984323798,0,1,0,0.413922125,0.652716867,0.733035873,0.61916272,0.61916272,0.987698993,0.962017077,0.953496293,0.998018474,0.808574148,0
71,0.991540924,0.527468734,0.983089812,0.717841924,0.984323798,0,1,0,0.409037746,0.635281402,0.74574112,0.612730618,0.612730618,0.98833052,0.966498995,0.949798056,0.998018474,0.796555137,0
72,0.995594967,0.538063828,0.996935397,0.739943118,0.984323798,0,1,0,0.397722553,0.620062862,0.758512631,0.609925481,0.609925481,0.988863387,0.971406843,0.947125309,0.998018474,0.785320993,0
73,0.99719805,0.538360657,1,0.738447469,0.984323798,0,1,0,0.382300454,0.606599851,0.770187436,0.630705965,0.630705965,0.989418432,0.9760278,0.944724392,0.998018474,0.774963578,0
74,0.997624606,0.535291957,0.999024951,0.730871128,0.984323798,0,1,0,0.367795742,0.592095657,0.78089327,0.658435866,0.658435866,0.990079248,0.979566851,0.941277026,0.998018474,0.763889944,0
75,0.997941022,0.535291957,0.998015563,0.730871128,0.984323798,0,1,0,0.354838423,0.573042595,0.789895623,0.679859443,0.679859443,0.990835762,0.981820633,0.935691297,0.998018474,0.748847385,0
76,0.998369631,0.535291957,0.998512392,0.730871128,0.984323798,0,1,0,0.338399324,0.549276635,0.797597308,0.69937028,0.69937028,0.991607248,0.983234838,0.928331786,0.998018474,0.729914583,0
77,0.998676481,0.535291957,0.998897025,0.730871128,0.984323798,0,1,0,0.316464237,0.523571304,0.804782784,0.721135519,0.721135519,0.992313886,0.984383701,0.920730018,0.998018474,0.709553557,0
78,0.998899308,0.535291957,0.999132221,0.730871128,0.984323798,0,1,0,0.29426027,0.500244507,0.81236936,0.745448619,0.745448619,0.992961715,0.985571616,0.914174354,0.998018474,0.692019939,0
79,0.999118115,0.535291957,0.999207464,0.730871128,0.984323798,0,1,0,0.277195635,0.481848809,0.820302768,0.770079613,0.770079613,0.993609318,0.986822497,0.909465102,0.998018474,0.678116565,0
80,0.999342733,0.535291957,0.999172857,0.730871128,0.984323798,0,1,0,0.267415312,0.4685416,0.861205167,0.793161608,0.793161608,0.994312212,0.98813427,0.905160638,0.998018474,0.666879958,0
81,0.999522293,0.535291957,0.999104314,0.730871128,0.984323798,0,1,0,0.266543227,0.458396856,0.8615596,0.815987387,0.815987387,0.995057327,0.989501998,0.897761168,0.998018474,0.656055674,0
82,0.999554283,0.535291957,0.99909028,0.730871128,0.984323798,0,1,0,0.269863472,0.449672185,0.862246172,0.833626537,0.833626537,0.995771761,0.99084498,0.883260308,0.998018474,0.646691988,0
83,0.999440281,0.535291957,0.999184191,0.730871128,0.984323798,0,1,0,0.27114164,0.441102402,0.863625919,0.841552046,0.841552046,0.996378356,0.992030924,0.861361602,0.998018474,0.639395477,0
84,0.999279409,0.535291957,0.999337829,0.730871128,0.984323798,0,1,0,0.268131009,0.433340571,0.866058822,0.837010743,0.837010743,0.996850209,0.992982966,0.836368489,0.998018474,0.636317487,0
85,0.999226481,0.535291957,0.99945824,0.730871128,0.984323798,0,1,0,0.261098398,0.427180326,0.869539313,0.826453367,0.826453367,0.99720797,0.993726505,0.813690687,0.998018474,0.637857206,0
86,0.999349096,0.535291957,0.999464452,0.730871128,0.984323798,0,1,0,0.250272947,0.423840583,0.873594801,0.820696255,0.820696255,0.997485363,0.994332624,0.795597917,0.998018474,0.643718626,0
87,0.999533287,0.535291957,0.999387822,0.730871128,0.984323798,0,1,0,0.240902069,0.424468158,0.8779438,0.824724411,0.824724411,0.997693291,0.994857577,0.782903658,0.998018474,0.653411348,0
88,0.999636774,0.535291957,0.99931895,0.730871128,0.984323798,0,1,0,0.238439585,0.427909737,0.882503877,0.838735778,0.838735778,0.997836401,0.995307449,0.772384432,0.998018474,0.661712185,0
89,0.999615335,0.535291957,0.999281557,0.730871128,0.984323798,0,1,0,0.239339366,0.433571607,0.886967774,0.85809761,0.85809761,0.997946046,0.995674088,0.761880682,0.998018474,0.66686683,0
90,0.999500475,0.535291957,0.999195091,0.730871128,0.984323798,0,1,0,0.239324439,0.438445337,0.891151424,0.874951713,0.874951713,0.998071536,0.995926961,0.751764952,0.998018474,0.665952685,0
91,0.999356755,0.535291957,0.999008102,0.730871128,0.998692706,0,1,0,0.239686247,0.445313723,0.894967519,0.883743589,0.883743589,0.998234253,0.996027258,0.742917198,0.998018474,0.66525303,0
92,0.999214182,0.535291957,0.998851973,0.730871128,0.992774203,0,1,0,0.239686247,0.456720302,0.897458325,0.885172905,0.885172905,0.99839868,0.995945455,0.735333656,0.998018474,0.670391281,0
93,0.999096452,0.535291957,0.998898354,0.730871128,0.986527434,0,1,0,0.239686247,0.476917199,0.898100717,0.88314629,0.88314629,0.998544306,0.995667983,0.729030868,0.998018474,0.684202087,0
94,0.999003453,0.535291957,0.999188567,0.730871128,0.983753078,0,1,0,0.239686247,0.507967482,0.896996417,0.882352333,0.882352333,0.998675704,0.995246248,0.729030868,0.998018474,0.703280559,0
95,0.998978769,0.535291957,0.999581005,0.730871128,0.985670258,0,1,0,0.239686247,0.550441795,0.894695964,0.884245619,0.884245619,0.998806001,0.994800096,0.729030868,0.998018474,0.724945222,0
96,0.999013644,0.535291957,0.999868071,0.730871128,0.989813041,0,0.996273098,0,0.239686247,0.598273032,0.95828892,0.88792129,0.88792129,0.998930927,0.994443469,0.729030868,0.998018474,0.746568349,0
97,0.999053714,0.535291957,0.999964585,0.730871128,0.992926518,0,0.997698021,0,0.239686247,0.643146514,0.960006667,0.889898792,0.889898792,0.999025199,0.994246187,0.729030868,0.998018474,0.768029456,0
98,0.999055589,0.535291957,0.999940105,0.730871128,0.993821817,0,0.998901684,0,0.239686247,0.676191222,0.961042592,0.889531446,0.889531446,0.999061838,0.994195913,0.729030868,0.998018474,0.784143966,0
99,0.999048792,0.535291957,0.999906139,0.730871128,0.994906246,0,0.999704351,0,0.239686247,0.697789633,0.961287682,0.889111059,0.889111059,0.999055691,0.994221402,0.729030868,0.998018474,0.795405732,0
100,0.999048792,0.535291957,0.999906139,0.730871128,0.99789354,0,1,0,0.239686247,0.712651692,0.960983466,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.801292117,0
101,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.728430746,0.960565009,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.807154631,0
102,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.744736577,0.960357703,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.813512884,0
103,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.758194038,0.960298139,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.820304117,0
104,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.764317325,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.823462881,0
105,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.765050161,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.823742262,0
106,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.763485608,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
107,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
108,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
109,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
110,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
111,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
112,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
113,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
114,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
115,0.999048792,0.535291957,0.999906139,0.730871128,0.988891193,0,1,0,0.239686247,0.76305433,0.960375077,0.889111059,0.889111059,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
年度,性別：男,J：人,,,,,,,,,,,,,,,,,
21,1,2,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
0,0,0,0,0,0,0,0,0,0,0,0.466981132,0,0,0,0,0,0.038103643,0,0.259262805
1,0,0,0,0,0,0,0,0,0,0,0.466981132,0,0,0,0,0,0.038103643,0,0.259262805
