私学共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
43,0.040349687,0.000530687,0.000428478,,,,,,,,
44,0.036928827,0.000566845,0.000469256,,,,,,,,
45,0.035028487,0.000613982,0.000519444,,,,,,,,
46,0.034102032,0.000673806,0.00057716,,,,,,,,
47,0.032718996,0.00074932,0.000639894,,,,,,,,
48,0.030585312,0.000829208,0.000708903,,,,,,,,
49,0.02839028,0.00090187,0.000784812,,,,,,,,
50,0.026850953,0.000960643,0.000868876,,,,,,,,
51,0.026314645,0.001016456,0.000963606,,,,,,,,
52,0.026025446,0.001084974,0.001066491,,,,,,,,
53,0.02568868,0.001169968,0.001175649,,,,,,,,
54,0.025468309,0.001273284,0.00129359,,,,,,,,
55,0.025729149,0.001392276,0.001421569,,,,,,,,
56,0.026762531,0.001522127,0.00156084,,,,,,,,
57,0.027627742,0.001673502,0.001712031,,,,,,,,
58,0.027481785,0.001851821,0.001878278,,,,,,,,
59,0.025740039,0.002061476,0.002062718,,,,,,,,
60,0.035252471,0.002951216,0.002268488,,,,,,,,
61,0.099701913,0.002600139,0.002499352,,,,,,,,
62,0.056752742,0.002209395,0.002753428,,,,,,,,
63,0.058346693,0.00185051,0.003027579,,,,,,,,
64,0.07720137,0.001577243,0.003324314,,,,,,,,
65,0.101856661,0.001577243,0.003652417,,,,,,,,
66,0.46495866,0.001577243,0.004025061,,,,,,,,
67,0.139318937,0.001577243,0.004453539,,,,,,,,
68,0.166980763,0.001577243,0.004935969,,,,,,,,
69,0.19251714,0.001577243,0.005464823,,,,,,,,
70,0.19251714,0.001577243,0.005464823,,,,,,,,
71,0.19251714,0.001577243,0.005464823,,,,,,,,
72,0.19251714,0.001577243,0.005464823,,,,,,,,
73,0.19251714,0.001577243,0.005464823,,,,,,,,
74,0.19251714,0.001577243,0.005464823,,,,,,,,
再加入率,RT,,,,,,,,,,
年齢,,,,,,,,,,,
15,0,,,,,,,,,,
16,0,,,,,,,,,,
17,0,,,,,,,,,,
18,0,,,,,,,,,,
19,0.000059358,,,,,,,,,,
20,0.000431075,,,,,,,,,,
21,0.001423291,,,,,,,,,,
22,0.003665571,,,,,,,,,,
23,0.006875621,,,,,,,,,,
24,0.011797235,,,,,,,,,,
25,0.019733255,,,,,,,,,,
26,0.036950721,,,,,,,,,,
27,0.073276221,,,,,,,,,,
28,0.133567547,,,,,,,,,,
29,0.207965892,,,,,,,,,,
30,0.276203035,,,,,,,,,,
31,0.325078151,,,,,,,,,,
32,0.349872384,,,,,,,,,,
33,0.359018428,,,,,,,,,,
34,0.363949274,,,,,,,,,,
35,0.367407928,,,,,,,,,,
36,0.365107352,,,,,,,,,,
37,0.35806622,,,,,,,,,,
38,0.350806964,,,,,,,,,,
39,0.342223378,,,,,,,,,,
40,0.330602001,,,,,,,,,,
41,0.317861804,,,,,,,,,,
42,0.304741261,,,,,,,,,,
43,0.293195782,,,,,,,,,,
44,0.28617522,,,,,,,,,,
45,0.28543397,,,,,,,,,,
46,0.282963727,,,,,,,,,,
47,0.27740351,,,,,,,,,,
48,0.271456457,,,,,,,,,,
49,0.26851954,,,,,,,,,,
50,0.268306471,,,,,,,,,,
51,0.264271156,,,,,,,,,,
52,0.247115395,,,,,,,,,,
53,0.214812615,,,,,,,,,,
54,0.185407103,,,,,,,,,,
55,0.178373985,,,,,,,,,,
56,0.190580855,,,,,,,,,,
57,0.20629488,,,,,,,,,,
58,0.198997549,,,,,,,,,,
59,0.169679268,,,,,,,,,,
60,0.138189855,,,,,,,,,,
61,0.138189855,,,,,,,,,,
62,0.138189855,,,,,,,,,,
63,0.138189855,,,,,,,,,,
64,0.138189855,,,,,,,,,,
65,0.138189855,,,,,,,,,,
66,0,,,,,,,,,,
67,0,,,,,,,,,,
68,0,,,,,,,,,,
69,0,,,,,,,,,,
70,0,,,,,,,,,,
71,0,,,,,,,,,,
72,0,,,,,,,,,,
73,0,,,,,,,,,,
74,0,,,,,,,,,,
年齢相関,YX,NS,,,,,,,,,
年齢,遺族分,老齢分,,,,,,,,,
15,16.11199391,18.7783919,,,,,,,,,
16,17.02907727,19.29210546,,,,,,,,,
17,17.94616064,19.85013742,,,,,,,,,
18,18.863244,20.38942083,,,,,,,,,
19,19.78032736,20.79221086,,,,,,,,,
20,20.69741073,21.33049616,,,,,,,,,
21,21.61449409,22.04475695,,,,,,,,,
22,22.53157746,22.97670425,,,,,,,,,
23,23.44866082,23.9949438,,,,,,,,,
24,24.36574419,24.95654748,,,,,,,,,
25,25.28282755,25.80618166,,,,,,,,,
26,26.19991092,26.67801348,,,,,,,,,
27,27.11699428,27.72880166,,,,,,,,,
28,28.03407765,28.84148783,,,,,,,,,
29,28.95116101,29.71028967,,,,,,,,,
30,29.86824437,30.50904997,,,,,,,,,
31,30.78532776,31.17787714,,,,,,,,,
32,31.70241105,31.90987659,,,,,,,,,
33,32.61949451,32.73133583,,,,,,,,,
