地共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
73,0.338308436,0.008269662,0.006251194,,,,,,,,
74,0.338308436,0.008269662,0.006251194,,,,,,,,
再加入率,RT,,,,,,,,,,
年齢,,,,,,,,,,,
15,0,,,,,,,,,,
16,0,,,,,,,,,,
17,0,,,,,,,,,,
18,0,,,,,,,,,,
19,0.004665356,,,,,,,,,,
20,0.012846337,,,,,,,,,,
21,0.01973333,,,,,,,,,,
22,0.024254608,,,,,,,,,,
23,0.02832113,,,,,,,,,,
24,0.036092969,,,,,,,,,,
25,0.05108919,,,,,,,,,,
26,0.072032312,,,,,,,,,,
27,0.093709252,,,,,,,,,,
28,0.11446093,,,,,,,,,,
29,0.138162177,,,,,,,,,,
30,0.16233324,,,,,,,,,,
31,0.185563856,,,,,,,,,,
32,0.208192716,,,,,,,,,,
33,0.230898422,,,,,,,,,,
34,0.256344616,,,,,,,,,,
35,0.28605192,,,,,,,,,,
36,0.314981476,,,,,,,,,,
37,0.337059356,,,,,,,,,,
38,0.350807768,,,,,,,,,,
39,0.360829898,,,,,,,,,,
40,0.372949801,,,,,,,,,,
41,0.390629518,,,,,,,,,,
42,0.409576872,,,,,,,,,,
43,0.42355553,,,,,,,,,,
44,0.431246034,,,,,,,,,,
45,0.436938208,,,,,,,,,,
46,0.442028941,,,,,,,,,,
47,0.444653692,,,,,,,,,,
48,0.444109622,,,,,,,,,,
49,0.441069561,,,,,,,,,,
50,0.438405681,,,,,,,,,,
51,0.445369823,,,,,,,,,,
52,0.462740552,,,,,,,,,,
53,0.48528131,,,,,,,,,,
54,0.508908438,,,,,,,,,,
