年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,地共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,2種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
47,274,1571,1763,443,338,294,338,333,428,391,350,375,472,508,599,548,590,709,901,1022,1285,1390,1715,2240,3283,5847,1973,2931,525,1814,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35257
48,277,1675,1735,435,368,302,293,299,332,369,347,374,375,477,498,454,482,557,635,830,1010,1060,1165,1688,2355,3563,5994,2114,3832,509,2298,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36707
49,273,1571,1763,428,295,301,279,301,295,276,355,333,286,362,419,419,419,483,499,591,760,737,829,1120,1664,2414,3548,6701,2184,4664,596,2195,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37365
50,293,1521,1721,346,258,269,270,272,247,254,266,279,287,289,283,329,363,396,416,418,519,574,654,802,1167,1607,2294,3721,7370,2033,4310,530,1843,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36209
51,238,1454,1623,361,231,240,248,243,236,236,216,236,276,241,246,277,258,349,320,365,345,405,422,535,802,1092,1446,2062,3632,7557,2069,3609,491,1499,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33864
52,210,1449,1598,329,232,218,217,211,236,218,184,186,203,238,223,210,221,265,248,272,293,286,334,435,547,714,899,1363,2127,3960,7739,1868,2957,457,1316,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32473
53,217,1384,1533,331,200,188,186,176,195,215,180,182,193,203,213,199,187,186,186,276,251,254,292,344,454,580,648,913,1483,2392,4037,8054,1769,2586,396,1247,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,32344
54,222,1414,1567,269,177,202,198,173,176,197,191,186,163,197,176,184,151,182,128,229,251,279,257,269,355,443,571,678,1009,1728,2495,4536,7436,1612,2231,350,1321,5,2,7,0,0,0,0,0,0,0,0,0,0,0,32217
55,171,1239,1264,251,171,136,181,127,135,152,156,147,139,139,142,127,133,142,127,141,183,222,197,201,238,307,415,498,691,953,1578,2388,3760,6129,1337,1701,286,1276,5,0,9,0,0,0,0,0,0,0,0,0,0,27594
56,178,1262,1345,278,129,176,186,139,137,148,124,123,163,131,132,101,105,130,115,132,117,164,213,201,275,284,345,467,572,849,1238,1869,2639,4109,5209,1393,1935,375,1285,8,4,6,0,0,0,0,0,0,0,0,0,28791
