年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,国共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,1種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
47,33,116,167,162,136,157,162,228,244,199,203,432,350,391,283,254,210,345,471,618,677,836,1205,1695,1960,2075,812,1647,1374,9303,9,23,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27020
48,28,104,140,159,109,146,142,171,211,171,191,414,338,393,276,253,222,214,369,495,490,661,750,1401,1802,2146,2021,853,1345,1981,9386,8,21,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27664
49,35,86,101,125,111,109,131,134,179,107,137,330,267,325,253,220,173,226,214,344,448,510,634,728,1347,1860,2081,1885,651,1876,2466,8784,9,34,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27143
50,25,100,101,98,73,82,103,122,145,107,124,304,224,223,174,172,159,200,214,265,302,461,503,668,687,1321,1706,1909,1639,1009,2023,2168,7885,9,35,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25534
51,29,74,71,81,65,80,72,118,123,77,97,261,191,186,167,158,166,184,197,219,215,316,392,514,549,699,1124,1350,1526,1963,1035,1659,2323,7680,2,29,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24227
52,23,77,77,67,57,67,68,112,100,62,60,217,110,144,134,116,152,149,189,223,177,237,251,364,431,507,520,882,1092,1661,1932,952,1654,2784,8025,6,28,216,0,0,0,0,0,0,0,0,0,0,0,0,0,23923
53,23,54,65,83,64,69,85,69,88,40,62,189,120,116,103,101,121,144,176,212,172,215,239,292,316,430,482,480,692,1353,1733,1896,955,1627,2512,8415,17,33,189,0,0,0,0,0,0,0,0,0,0,0,0,24032
54,20,80,52,60,62,41,71,68,73,47,53,168,95,83,77,81,97,127,150,156,130,180,185,200,229,336,383,457,489,983,1278,1573,1759,861,1356,2196,8593,18,34,177,0,0,0,0,0,0,0,0,0,0,0,23078
55,21,62,46,45,43,40,42,42,76,41,45,147,58,69,56,74,72,71,110,90,102,138,141,128,167,213,251,316,406,530,752,1030,1400,1382,525,775,1651,5147,8,15,113,0,0,0,0,0,0,0,0,0,0,16440
56,18,60,50,59,52,33,31,45,58,34,41,128,54,70,64,54,60,68,70,110,97,161,137,168,178,172,214,311,364,521,570,806,1115,1533,1429,554,984,1804,4405,14,6,36,0,0,0,0,0,0,0,0,0,16738
